Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,13104.3,13412.71,13104.3,13412.55,13412.55,161430000
2013-01-03,13413.01,13430.6,13358.3,13391.36,13391.36,129630000
2013-01-04,13391.05,13447.11,13376.23,13435.21,13435.21,107590000
2013-01-07,13436.13,13436.13,13343.32,13384.29,13384.29,113120000
2013-01-08,13377.42,13377.42,13293.13,13328.85,13328.85,129570000
2013-01-09,13329.92,13416.55,13329.08,13390.51,13390.51,123070000
2013-01-10,13391.82,13478.2,13382.29,13471.22,13471.22,133520000
2013-01-11,13471.45,13496.68,13439.97,13488.43,13488.43,119200000
2013-01-14,13488.43,13520.18,13459.84,13507.32,13507.32,118460000
2013-01-15,13507.32,13546.37,13445.8,13534.89,13534.89,102280000
2013-01-16,13534.89,13534.89,13468.96,13511.23,13511.23,118540000
2013-01-17,13511.23,13633.89,13510.24,13596.02,13596.02,183900000
2013-01-18,13596.02,13649.93,13571.86,13649.7,13649.7,260900000
2013-01-22,13649.7,13712.21,13622.96,13712.21,13712.21,144300000
2013-01-23,13712.21,13794.29,13710.13,13779.33,13779.33,104490000
2013-01-24,13779.33,13879.66,13779.33,13825.33,13825.33,124780000
2013-01-25,13825.33,13895.98,13825.33,13895.98,13895.98,130300000
2013-01-28,13895.98,13915.72,13862.57,13881.93,13881.93,113570000
2013-01-29,13881.93,13969.99,13880.01,13954.42,13954.42,108230000
2013-01-30,13954.42,13966.13,13896.95,13910.42,13910.42,117200000
2013-01-31,13910.42,13941.06,13860.58,13860.58,13860.58,142600000
2013-02-01,13860.58,14019.78,13860.58,14009.79,14009.79,128420000
2013-02-04,14009.79,14009.79,13866.83,13880.08,13880.08,130420000
2013-02-05,13880.08,14013.6,13880.08,13979.3,13979.3,134390000
2013-02-06,13979.3,13991.61,13913.18,13986.52,13986.52,127560000
2013-02-07,13986.52,13988.06,13852.2,13944.05,13944.05,118530000
2013-02-08,13944.05,14022.62,13944.05,13992.97,13992.97,99860000
2013-02-11,13992.97,13992.97,13940.41,13971.24,13971.24,75090000
2013-02-12,13971.24,14038.97,13968.94,14018.7,14018.7,117180000
2013-02-13,14018.7,14029.35,13945.78,13982.91,13982.91,130520000
